Launched Pure data with master PID 94845 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,94848,00:19,0:00.88,0:00.45,10084,6.3
/Applications/Pd,94848,00:20,0:00.95,0:00.48,10084,6.8
/Applications/Pd,94848,00:22,0:01.01,0:00.51,10084,4.5
/Applications/Pd,94848,00:23,0:01.07,0:00.55,10084,6.7
/Applications/Pd,94848,00:24,0:01.14,0:00.59,10084,6.7
/Applications/Pd,94848,00:25,0:01.21,0:00.62,10084,6.3
/Applications/Pd,94848,00:26,0:01.26,0:00.65,10084,5.9
/Applications/Pd,94848,00:27,0:01.32,0:00.69,10084,5.5
/Applications/Pd,94848,00:28,0:01.38,0:00.72,10084,5.4
/Applications/Pd,94848,00:29,0:01.44,0:00.75,10084,5.7
/Applications/Pd,94848,00:30,0:01.51,0:00.79,10084,6.5
/Applications/Pd,94848,00:31,0:01.56,0:00.82,10084,5.2
/Applications/Pd,94848,00:32,0:01.62,0:00.85,10084,5.3
/Applications/Pd,94848,00:33,0:01.68,0:00.88,10084,6.3
/Applications/Pd,94848,00:34,0:01.76,0:00.92,10084,7.2
/Applications/Pd,94848,00:35,0:01.83,0:00.96,10084,6.6
/Applications/Pd,94848,00:36,0:01.90,0:01.00,10084,6.9
/Applications/Pd,94848,00:37,0:01.97,0:01.04,10084,6.3
/Applications/Pd,94848,00:38,0:02.04,0:01.07,10084,6.7
/Applications/Pd,94848,00:39,0:02.10,0:01.10,10084,5.1
/Applications/Pd,94848,00:40,0:02.17,0:01.14,10084,6.8
/Applications/Pd,94848,00:41,0:02.24,0:01.18,10084,7.0
/Applications/Pd,94848,00:42,0:02.31,0:01.22,10084,7.1
/Applications/Pd,94848,00:43,0:02.39,0:01.25,10084,7.1
/Applications/Pd,94848,00:44,0:02.46,0:01.29,10084,7.3
/Applications/Pd,94848,00:45,0:02.54,0:01.33,10084,7.4
/Applications/Pd,94848,00:46,0:02.61,0:01.37,10084,6.7
/Applications/Pd,94848,00:47,0:02.68,0:01.41,10084,6.9
/Applications/Pd,94848,00:48,0:02.75,0:01.45,10084,5.7
/Applications/Pd,94848,00:49,0:02.81,0:01.48,10084,6.0
/Applications/Pd,94848,00:50,0:02.88,0:01.52,10084,6.7
/Applications/Pd,94848,00:51,0:02.95,0:01.55,10084,6.4
/Applications/Pd,94848,00:52,0:03.02,0:01.59,10084,6.7
/Applications/Pd,94848,00:53,0:03.09,0:01.63,10084,7.2
/Applications/Pd,94848,00:54,0:03.16,0:01.67,10084,6.7
/Applications/Pd,94848,00:55,0:03.23,0:01.71,10084,6.3
/Applications/Pd,94848,00:56,0:03.30,0:01.74,10084,6.7
/Applications/Pd,94848,00:57,0:03.37,0:01.78,10084,6.8
/Applications/Pd,94848,00:58,0:03.43,0:01.82,10084,5.4
/Applications/Pd,94848,00:59,0:03.50,0:01.85,10084,6.7
/Applications/Pd,94848,01:00,0:03.55,0:01.88,10084,4.8
/Applications/Pd,94848,01:01,0:03.62,0:01.92,10084,7.1
/Applications/Pd,94848,01:02,0:03.69,0:01.95,10084,6.2
/Applications/Pd,94848,01:03,0:03.76,0:01.99,10084,6.6
/Applications/Pd,94848,01:04,0:03.83,0:02.03,10084,7.0
/Applications/Pd,94848,01:05,0:03.90,0:02.06,10084,6.7
/Applications/Pd,94848,01:06,0:03.97,0:02.10,10084,6.9
/Applications/Pd,94848,01:07,0:04.04,0:02.14,10084,6.4
/Applications/Pd,94848,01:08,0:04.10,0:02.17,10084,5.9
/Applications/Pd,94848,01:09,0:04.17,0:02.21,10084,6.4
/Applications/Pd,94848,01:10,0:04.24,0:02.24,10084,6.8
/Applications/Pd,94848,01:11,0:04.31,0:02.28,10084,6.4
/Applications/Pd,94848,01:12,0:04.38,0:02.32,10084,6.4
/Applications/Pd,94848,01:13,0:04.44,0:02.35,10084,6.4
/Applications/Pd,94848,01:14,0:04.52,0:02.39,10084,7.1
/Applications/Pd,94848,01:15,0:04.58,0:02.43,10084,6.6
/Applications/Pd,94848,01:16,0:04.65,0:02.46,10084,5.9
/Applications/Pd,94848,01:17,0:04.71,0:02.49,10084,5.3
/Applications/Pd,94848,01:18,0:04.77,0:02.52,10084,6.0
/Applications/Pd,94848,01:19,0:04.83,0:02.56,10084,6.3
/Applications/Pd,94848,01:20,0:04.90,0:02.60,10084,6.1
/Applications/Pd,94848,01:21,0:04.97,0:02.63,10084,6.6
/Applications/Pd,94848,01:22,0:05.04,0:02.67,10084,7.0
/Applications/Pd,94848,01:23,0:05.11,0:02.71,10084,6.9
/Applications/Pd,94848,01:24,0:05.18,0:02.75,10084,6.4
/Applications/Pd,94848,01:25,0:05.25,0:02.79,10084,7.1
/Applications/Pd,94848,01:26,0:05.33,0:02.83,10084,7.5
/Applications/Pd,94848,01:27,0:05.40,0:02.86,10084,6.2
/Applications/Pd,94848,01:28,0:05.45,0:02.90,10084,5.4
/Applications/Pd,94848,01:30,0:05.53,0:02.94,10084,7.3
/Applications/Pd,94848,01:31,0:05.60,0:02.97,10084,6.7
/Applications/Pd,94848,01:32,0:05.67,0:03.01,10084,6.9
/Applications/Pd,94848,01:33,0:05.74,0:03.05,10084,6.7
/Applications/Pd,94848,01:34,0:05.81,0:03.09,10084,6.8
/Applications/Pd,94848,01:35,0:05.88,0:03.13,10084,6.8
/Applications/Pd,94848,01:36,0:05.95,0:03.16,10084,7.1
/Applications/Pd,94848,01:37,0:06.03,0:03.20,10084,7.6
/Applications/Pd,94848,01:38,0:06.10,0:03.24,10084,7.1
/Applications/Pd,94848,01:39,0:06.17,0:03.28,10084,6.4
/Applications/Pd,94848,01:40,0:06.25,0:03.32,10084,7.8
/Applications/Pd,94848,01:41,0:06.33,0:03.36,10084,7.1
/Applications/Pd,94848,01:42,0:06.40,0:03.40,10084,7.1
