Launched Pure data with master PID 95731 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,95735,00:20,0:04.59,0:04.11,26004,46.7
/Applications/Pd,95735,00:21,0:05.11,0:04.60,26052,51.1
/Applications/Pd,95735,00:22,0:05.68,0:05.13,26172,47.7
/Applications/Pd,95735,00:23,0:06.05,0:05.47,26172,36.8
/Applications/Pd,95735,00:24,0:06.45,0:05.84,26172,39.9
/Applications/Pd,95735,00:25,0:06.86,0:06.22,26172,41.7
/Applications/Pd,95735,00:26,0:07.26,0:06.60,26172,37.7
/Applications/Pd,95735,00:27,0:07.65,0:06.95,26172,37.6
/Applications/Pd,95735,00:28,0:08.03,0:07.30,26172,37.1
/Applications/Pd,95735,00:29,0:08.42,0:07.65,26172,38.4
/Applications/Pd,95735,00:30,0:08.80,0:08.00,26172,37.9
/Applications/Pd,95735,00:31,0:09.18,0:08.35,26172,37.7
/Applications/Pd,95735,00:32,0:09.57,0:08.71,26172,38.7
/Applications/Pd,95735,00:33,0:09.97,0:09.07,26172,39.2
/Applications/Pd,95735,00:34,0:10.36,0:09.42,26172,38.0
/Applications/Pd,95735,00:35,0:10.74,0:09.77,26180,37.5
/Applications/Pd,95735,00:37,0:11.13,0:10.13,26180,38.1
/Applications/Pd,95735,00:38,0:11.53,0:10.49,26180,37.8
/Applications/Pd,95735,00:39,0:11.91,0:10.84,26180,37.4
/Applications/Pd,95735,00:40,0:12.32,0:11.22,26180,39.6
/Applications/Pd,95735,00:41,0:12.71,0:11.58,26180,39.7
/Applications/Pd,95735,00:42,0:13.11,0:11.96,26180,41.2
/Applications/Pd,95735,00:43,0:13.51,0:12.33,26180,40.2
/Applications/Pd,95735,00:44,0:13.91,0:12.69,26180,37.8
/Applications/Pd,95735,00:45,0:14.30,0:13.06,26180,37.9
/Applications/Pd,95735,00:46,0:14.70,0:13.43,26180,39.5
/Applications/Pd,95735,00:47,0:15.10,0:13.79,26180,38.3
/Applications/Pd,95735,00:48,0:15.49,0:14.15,26180,37.4
/Applications/Pd,95735,00:49,0:15.95,0:14.58,26180,46.9
/Applications/Pd,95735,00:50,0:16.43,0:15.02,26180,44.2
/Applications/Pd,95735,00:51,0:16.82,0:15.38,26180,37.3
/Applications/Pd,95735,00:52,0:17.26,0:15.79,26180,46.8
/Applications/Pd,95735,00:53,0:17.82,0:16.31,26180,51.9
/Applications/Pd,95735,00:54,0:18.24,0:16.70,26180,40.7
/Applications/Pd,95735,00:55,0:18.63,0:17.05,26180,38.1
/Applications/Pd,95735,00:56,0:19.02,0:17.42,26180,38.1
/Applications/Pd,95735,00:57,0:19.46,0:17.82,26180,41.8
/Applications/Pd,95735,00:58,0:19.84,0:18.17,26180,37.6
/Applications/Pd,95735,00:59,0:20.24,0:18.54,26180,41.3
/Applications/Pd,95735,01:00,0:20.63,0:18.89,26180,38.7
/Applications/Pd,95735,01:01,0:21.02,0:19.25,26180,37.8
/Applications/Pd,95735,01:02,0:21.41,0:19.61,26180,37.5
/Applications/Pd,95735,01:03,0:21.93,0:20.09,26180,49.9
/Applications/Pd,95735,01:04,0:22.32,0:20.46,26180,38.0
/Applications/Pd,95735,01:05,0:22.71,0:20.81,26180,38.5
/Applications/Pd,95735,01:06,0:23.09,0:21.16,26180,38.2
/Applications/Pd,95735,01:07,0:23.51,0:21.54,26180,42.0
/Applications/Pd,95735,01:08,0:23.95,0:21.95,26180,41.5
/Applications/Pd,95735,01:09,0:24.50,0:22.47,26180,53.3
/Applications/Pd,95735,01:10,0:24.88,0:22.82,26180,37.5
/Applications/Pd,95735,01:11,0:25.27,0:23.18,26180,39.3
/Applications/Pd,95735,01:12,0:25.67,0:23.55,26180,38.4
/Applications/Pd,95735,01:13,0:26.13,0:23.97,26180,46.9
/Applications/Pd,95735,01:14,0:26.52,0:24.32,26180,37.2
/Applications/Pd,95735,01:15,0:26.90,0:24.67,26180,37.1
/Applications/Pd,95735,01:16,0:27.29,0:25.03,26180,38.2
/Applications/Pd,95735,01:17,0:27.69,0:25.40,26180,41.5
/Applications/Pd,95735,01:18,0:28.12,0:25.80,26180,38.4
/Applications/Pd,95735,01:19,0:28.54,0:26.18,26180,38.9
/Applications/Pd,95735,01:20,0:28.93,0:26.54,26180,40.0
/Applications/Pd,95735,01:21,0:29.31,0:26.88,26180,37.5
/Applications/Pd,95735,01:22,0:29.69,0:27.23,26180,37.7
/Applications/Pd,95735,01:23,0:30.08,0:27.58,26180,37.5
/Applications/Pd,95735,01:24,0:30.45,0:27.93,26180,36.8
/Applications/Pd,95735,01:25,0:30.83,0:28.27,26180,37.5
/Applications/Pd,95735,01:26,0:31.23,0:28.63,26180,38.6
/Applications/Pd,95735,01:27,0:31.62,0:28.99,26180,38.1
/Applications/Pd,95735,01:28,0:32.00,0:29.33,26180,37.0
/Applications/Pd,95735,01:29,0:32.39,0:29.69,26180,38.3
/Applications/Pd,95735,01:30,0:32.77,0:30.04,26180,38.0
/Applications/Pd,95735,01:31,0:33.14,0:30.38,26180,36.7
/Applications/Pd,95735,01:32,0:33.53,0:30.73,26180,37.8
/Applications/Pd,95735,01:34,0:33.92,0:31.09,26180,38.6
/Applications/Pd,95735,01:35,0:34.32,0:31.46,26180,38.8
/Applications/Pd,95735,01:36,0:34.71,0:31.81,26180,38.1
/Applications/Pd,95735,01:37,0:35.10,0:32.16,26180,38.3
/Applications/Pd,95735,01:38,0:35.48,0:32.51,26180,37.2
/Applications/Pd,95735,01:39,0:35.86,0:32.86,26180,37.6
/Applications/Pd,95735,01:40,0:36.24,0:33.21,26180,38.3
/Applications/Pd,95735,01:41,0:36.63,0:33.56,26180,37.7
/Applications/Pd,95735,01:42,0:37.01,0:33.91,26180,37.1
/Applications/Pd,95735,01:43,0:37.39,0:34.26,26180,38.3
/Applications/Pd,95735,01:44,0:37.79,0:34.62,26180,38.6
/Applications/Pd,95735,01:45,0:38.17,0:34.97,26180,37.2
/Applications/Pd,95735,01:46,0:38.55,0:35.32,26180,38.0
/Applications/Pd,95735,01:47,0:38.94,0:35.67,26180,38.2
