Launched Pure data with master PID 96615 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,96618,00:20,0:04.18,0:03.72,26044,37.6
/Applications/Pd,96618,00:21,0:04.56,0:04.07,26044,37.9
/Applications/Pd,96618,00:22,0:04.95,0:04.43,26044,38.3
/Applications/Pd,96618,00:23,0:05.34,0:04.78,26044,37.9
/Applications/Pd,96618,00:24,0:05.73,0:05.14,26044,38.9
/Applications/Pd,96618,00:25,0:06.12,0:05.50,26044,38.9
/Applications/Pd,96618,00:26,0:06.50,0:05.85,26044,37.8
/Applications/Pd,96618,00:27,0:06.88,0:06.20,26044,37.5
/Applications/Pd,96618,00:28,0:07.27,0:06.55,26044,37.7
/Applications/Pd,96618,00:29,0:07.65,0:06.90,26044,37.7
/Applications/Pd,96618,00:30,0:08.03,0:07.25,26044,37.2
/Applications/Pd,96618,00:31,0:08.41,0:07.59,26044,38.0
/Applications/Pd,96618,00:32,0:08.79,0:07.95,26044,37.1
/Applications/Pd,96618,00:33,0:09.18,0:08.30,26044,38.8
/Applications/Pd,96618,00:34,0:09.56,0:08.65,26044,37.0
/Applications/Pd,96618,00:35,0:09.94,0:08.99,26044,38.0
/Applications/Pd,96618,00:36,0:10.33,0:09.35,26044,38.7
/Applications/Pd,96618,00:37,0:10.71,0:09.70,26044,38.0
/Applications/Pd,96618,00:38,0:11.10,0:10.06,26044,37.1
/Applications/Pd,96618,00:39,0:11.49,0:10.40,26044,37.2
/Applications/Pd,96618,00:40,0:11.86,0:10.74,26044,36.4
/Applications/Pd,96618,00:41,0:12.24,0:11.10,26044,38.2
/Applications/Pd,96618,00:42,0:12.62,0:11.44,26044,36.9
/Applications/Pd,96618,00:43,0:13.00,0:11.79,26044,37.9
/Applications/Pd,96618,00:45,0:13.39,0:12.14,26044,38.2
/Applications/Pd,96618,00:46,0:13.76,0:12.48,26044,36.9
/Applications/Pd,96618,00:47,0:14.14,0:12.83,26044,36.6
/Applications/Pd,96618,00:48,0:14.52,0:13.17,26044,37.1
/Applications/Pd,96618,00:49,0:14.89,0:13.51,26044,37.1
/Applications/Pd,96618,00:50,0:15.27,0:13.85,26044,36.9
/Applications/Pd,96618,00:51,0:15.64,0:14.19,26044,36.4
/Applications/Pd,96618,00:52,0:16.01,0:14.53,26044,36.5
/Applications/Pd,96618,00:53,0:16.41,0:14.90,26044,39.2
/Applications/Pd,96618,00:54,0:16.79,0:15.24,26044,36.9
/Applications/Pd,96618,00:55,0:17.16,0:15.58,26044,37.0
/Applications/Pd,96618,00:56,0:17.53,0:15.92,26044,36.6
/Applications/Pd,96618,00:57,0:17.91,0:16.26,26044,36.4
/Applications/Pd,96618,00:58,0:18.28,0:16.60,26044,37.2
/Applications/Pd,96618,00:59,0:18.66,0:16.94,26044,36.9
/Applications/Pd,96618,01:00,0:19.03,0:17.29,26044,36.7
/Applications/Pd,96618,01:01,0:19.41,0:17.63,26044,37.0
