Launched Pure data with master PID 97495 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,97498,00:20,0:01.15,0:00.74,10232,7.6
/Applications/Pd,97498,00:21,0:01.23,0:00.80,10232,8.5
/Applications/Pd,97498,00:22,0:01.32,0:00.87,10232,8.7
/Applications/Pd,97498,00:23,0:01.41,0:00.93,10232,8.7
/Applications/Pd,97498,00:24,0:01.50,0:01.00,10232,8.7
/Applications/Pd,97498,00:25,0:01.60,0:01.06,10232,9.2
/Applications/Pd,97498,00:26,0:01.68,0:01.13,10232,8.4
/Applications/Pd,97498,00:27,0:01.77,0:01.19,10232,8.5
/Applications/Pd,97498,00:28,0:01.86,0:01.25,10232,9.0
/Applications/Pd,97498,00:29,0:01.96,0:01.32,10232,9.7
/Applications/Pd,97498,00:30,0:02.06,0:01.39,10232,9.2
/Applications/Pd,97498,00:31,0:02.15,0:01.46,10232,8.4
/Applications/Pd,97498,00:32,0:02.24,0:01.52,10232,8.6
/Applications/Pd,97498,00:33,0:02.34,0:01.59,10232,9.5
/Applications/Pd,97498,00:34,0:02.43,0:01.65,10232,8.7
/Applications/Pd,97498,00:35,0:02.53,0:01.72,10232,9.0
/Applications/Pd,97498,00:36,0:02.63,0:01.79,10232,9.5
/Applications/Pd,97498,00:37,0:02.73,0:01.86,10240,9.2
/Applications/Pd,97498,00:38,0:02.83,0:01.93,10240,9.1
/Applications/Pd,97498,00:39,0:02.93,0:02.00,10240,8.9
/Applications/Pd,97498,00:40,0:03.03,0:02.07,10240,9.1
/Applications/Pd,97498,00:41,0:03.13,0:02.14,10240,9.4
/Applications/Pd,97498,00:42,0:03.23,0:02.21,10240,9.0
/Applications/Pd,97498,00:43,0:03.32,0:02.28,10240,8.4
/Applications/Pd,97498,00:44,0:03.41,0:02.34,10240,8.9
/Applications/Pd,97498,00:45,0:03.50,0:02.41,10240,8.8
/Applications/Pd,97498,00:46,0:03.60,0:02.48,10240,9.1
/Applications/Pd,97498,00:47,0:03.69,0:02.54,10240,8.4
/Applications/Pd,97498,00:48,0:03.78,0:02.60,10240,8.6
/Applications/Pd,97498,00:49,0:03.88,0:02.67,10240,9.9
/Applications/Pd,97498,00:50,0:03.97,0:02.74,10240,9.3
/Applications/Pd,97498,00:51,0:04.06,0:02.80,10240,8.6
/Applications/Pd,97498,00:52,0:04.15,0:02.87,10240,8.9
/Applications/Pd,97498,00:53,0:04.26,0:02.94,10240,9.8
/Applications/Pd,97498,00:54,0:04.35,0:03.01,10240,9.3
/Applications/Pd,97498,00:55,0:04.45,0:03.07,10240,8.9
/Applications/Pd,97498,00:56,0:04.55,0:03.14,10240,10.0
/Applications/Pd,97498,00:57,0:04.65,0:03.21,10240,9.3
/Applications/Pd,97498,00:58,0:04.74,0:03.28,10240,9.1
/Applications/Pd,97498,00:59,0:04.84,0:03.35,10240,9.9
/Applications/Pd,97498,01:00,0:04.94,0:03.41,10240,8.7
/Applications/Pd,97498,01:02,0:05.04,0:03.48,10240,9.3
/Applications/Pd,97498,01:03,0:05.13,0:03.55,10240,9.2
/Applications/Pd,97498,01:04,0:05.22,0:03.61,10240,8.6
/Applications/Pd,97498,01:05,0:05.32,0:03.68,10240,9.2
/Applications/Pd,97498,01:06,0:05.41,0:03.74,10240,8.3
/Applications/Pd,97498,01:07,0:05.50,0:03.81,10240,8.8
/Applications/Pd,97498,01:08,0:05.60,0:03.88,10240,9.9
/Applications/Pd,97498,01:09,0:05.70,0:03.95,10240,9.6
/Applications/Pd,97498,01:10,0:05.79,0:04.01,10240,8.8
/Applications/Pd,97498,01:11,0:05.89,0:04.08,10240,9.4
/Applications/Pd,97498,01:12,0:05.98,0:04.14,10240,8.7
/Applications/Pd,97498,01:13,0:06.07,0:04.21,10240,9.2
/Applications/Pd,97498,01:14,0:06.17,0:04.28,10240,9.1
/Applications/Pd,97498,01:15,0:06.27,0:04.35,10240,9.5
/Applications/Pd,97498,01:16,0:06.36,0:04.41,10240,9.5
/Applications/Pd,97498,01:17,0:06.46,0:04.48,10240,9.3
/Applications/Pd,97498,01:18,0:06.55,0:04.55,10240,8.3
/Applications/Pd,97498,01:19,0:06.65,0:04.61,10240,9.9
/Applications/Pd,97498,01:20,0:06.75,0:04.68,10240,9.9
/Applications/Pd,97498,01:21,0:06.84,0:04.75,10240,8.7
/Applications/Pd,97498,01:22,0:06.94,0:04.81,10240,9.0
/Applications/Pd,97498,01:23,0:07.03,0:04.88,10240,9.4
/Applications/Pd,97498,01:24,0:07.13,0:04.95,10240,9.0
/Applications/Pd,97498,01:25,0:07.23,0:05.02,10240,9.7
/Applications/Pd,97498,01:26,0:07.33,0:05.09,10240,10.1
/Applications/Pd,97498,01:27,0:07.44,0:05.16,10240,9.6
/Applications/Pd,97498,01:28,0:07.53,0:05.23,10240,8.8
/Applications/Pd,97498,01:29,0:07.62,0:05.30,10240,9.0
/Applications/Pd,97498,01:30,0:07.72,0:05.36,10240,9.6
/Applications/Pd,97498,01:31,0:07.82,0:05.44,10240,10.1
/Applications/Pd,97498,01:32,0:07.92,0:05.50,10240,9.0
/Applications/Pd,97498,01:33,0:08.01,0:05.57,10240,8.4
/Applications/Pd,97498,01:34,0:08.10,0:05.63,10240,8.1
/Applications/Pd,97498,01:35,0:08.20,0:05.70,10240,9.5
/Applications/Pd,97498,01:36,0:08.29,0:05.76,10240,8.9
/Applications/Pd,97498,01:37,0:08.39,0:05.83,10240,10.0
/Applications/Pd,97498,01:38,0:08.48,0:05.90,10240,8.8
/Applications/Pd,97498,01:39,0:08.57,0:05.96,10240,8.4
/Applications/Pd,97498,01:40,0:08.66,0:06.02,10240,8.7
/Applications/Pd,97498,01:41,0:08.75,0:06.09,10240,8.4
/Applications/Pd,97498,01:42,0:08.84,0:06.15,10240,9.0
/Applications/Pd,97498,01:43,0:08.93,0:06.22,10240,8.4
/Applications/Pd,97498,01:44,0:09.03,0:06.29,10240,9.4
/Applications/Pd,97498,01:45,0:09.13,0:06.36,10240,10.1
/Applications/Pd,97498,01:46,0:09.24,0:06.43,10240,9.5
/Applications/Pd,97498,01:47,0:09.33,0:06.50,10240,9.5
/Applications/Pd,97498,01:48,0:09.43,0:06.57,10240,9.0
/Applications/Pd,97498,01:49,0:09.52,0:06.63,10240,8.4
/Applications/Pd,97498,01:50,0:09.62,0:06.70,10240,9.3
/Applications/Pd,97498,01:51,0:09.72,0:06.77,10240,9.1
/Applications/Pd,97498,01:52,0:09.82,0:06.84,10240,9.4
/Applications/Pd,97498,01:53,0:09.91,0:06.90,10240,8.7
/Applications/Pd,97498,01:54,0:10.00,0:06.97,10240,8.7
/Applications/Pd,97498,01:55,0:10.09,0:07.03,10240,8.6
/Applications/Pd,97498,01:56,0:10.18,0:07.10,10240,9.0
/Applications/Pd,97498,01:57,0:10.27,0:07.16,10240,9.4
/Applications/Pd,97498,01:58,0:10.37,0:07.23,10240,9.6
/Applications/Pd,97498,01:59,0:10.46,0:07.30,10240,8.5
/Applications/Pd,97498,02:00,0:10.56,0:07.37,10240,9.3
