Launched Pure data with master PID 98376 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,98379,00:20,0:01.93,0:01.48,11508,15.7
/Applications/Pd,98379,00:21,0:02.09,0:01.61,11660,16.5
/Applications/Pd,98379,00:22,0:02.23,0:01.73,11668,14.0
/Applications/Pd,98379,00:23,0:02.38,0:01.85,11668,14.1
/Applications/Pd,98379,00:24,0:02.53,0:01.96,11668,13.8
/Applications/Pd,98379,00:25,0:02.67,0:02.08,11668,14.4
/Applications/Pd,98379,00:26,0:02.82,0:02.19,11668,13.2
/Applications/Pd,98379,00:27,0:02.96,0:02.31,11668,14.1
/Applications/Pd,98379,00:28,0:03.10,0:02.43,11668,14.0
/Applications/Pd,98379,00:29,0:03.25,0:02.54,11668,13.9
/Applications/Pd,98379,00:30,0:03.40,0:02.66,11668,14.2
/Applications/Pd,98379,00:31,0:03.54,0:02.77,11668,13.8
/Applications/Pd,98379,00:32,0:03.69,0:02.89,11668,14.0
/Applications/Pd,98379,00:33,0:03.83,0:03.01,11668,14.9
/Applications/Pd,98379,00:34,0:03.98,0:03.13,11668,14.2
/Applications/Pd,98379,00:35,0:04.13,0:03.25,11668,14.0
/Applications/Pd,98379,00:36,0:04.27,0:03.36,11668,14.1
/Applications/Pd,98379,00:37,0:04.43,0:03.49,11668,15.8
/Applications/Pd,98379,00:38,0:04.60,0:03.62,11668,16.3
/Applications/Pd,98379,00:39,0:04.76,0:03.75,11668,14.8
/Applications/Pd,98379,00:40,0:04.91,0:03.87,11668,14.7
/Applications/Pd,98379,00:41,0:05.06,0:03.99,11668,14.5
/Applications/Pd,98379,00:42,0:05.21,0:04.11,11668,14.8
/Applications/Pd,98379,00:43,0:05.35,0:04.22,11668,13.8
/Applications/Pd,98379,00:44,0:05.50,0:04.34,11668,14.2
/Applications/Pd,98379,00:45,0:05.65,0:04.47,11668,14.6
/Applications/Pd,98379,00:46,0:05.80,0:04.59,11668,14.8
/Applications/Pd,98379,00:47,0:05.94,0:04.70,11668,13.3
/Applications/Pd,98379,00:48,0:06.09,0:04.82,11668,13.9
/Applications/Pd,98379,00:49,0:06.23,0:04.93,11668,14.2
/Applications/Pd,98379,00:50,0:06.38,0:05.05,11668,14.5
/Applications/Pd,98379,00:51,0:06.52,0:05.17,11668,14.3
/Applications/Pd,98379,00:52,0:06.67,0:05.28,11668,14.4
/Applications/Pd,98379,00:53,0:06.81,0:05.40,11668,13.5
/Applications/Pd,98379,00:54,0:06.96,0:05.52,11668,14.1
/Applications/Pd,98379,00:55,0:07.10,0:05.63,11668,14.0
