Launched Pure data with master PID 1826 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,1829,00:20,0:00.94,0:00.47,10080,7.2
/Applications/Pd,1829,00:21,0:01.02,0:00.51,10080,7.8
/Applications/Pd,1829,00:22,0:01.09,0:00.55,10080,7.4
/Applications/Pd,1829,00:23,0:01.17,0:00.59,10080,7.6
/Applications/Pd,1829,00:24,0:01.25,0:00.63,10080,7.6
/Applications/Pd,1829,00:25,0:01.32,0:00.67,10080,7.5
/Applications/Pd,1829,00:26,0:01.40,0:00.71,10080,7.3
/Applications/Pd,1829,00:27,0:01.47,0:00.75,10080,5.8
/Applications/Pd,1829,00:28,0:01.55,0:00.79,10080,7.7
/Applications/Pd,1829,00:29,0:01.62,0:00.83,10080,7.2
/Applications/Pd,1829,00:30,0:01.69,0:00.86,10080,6.9
/Applications/Pd,1829,00:31,0:01.77,0:00.91,10080,7.8
/Applications/Pd,1829,00:32,0:01.85,0:00.95,10080,7.4
/Applications/Pd,1829,00:33,0:01.93,0:00.99,10080,7.7
/Applications/Pd,1829,00:34,0:02.01,0:01.03,10080,7.6
/Applications/Pd,1829,00:35,0:02.08,0:01.07,10080,7.2
/Applications/Pd,1829,00:36,0:02.16,0:01.10,10080,7.1
/Applications/Pd,1829,00:37,0:02.23,0:01.14,10080,7.1
/Applications/Pd,1829,00:38,0:02.31,0:01.18,10080,7.6
/Applications/Pd,1829,00:39,0:02.39,0:01.22,10080,7.5
/Applications/Pd,1829,00:40,0:02.46,0:01.26,10080,7.4
/Applications/Pd,1829,00:41,0:02.54,0:01.30,10080,7.9
/Applications/Pd,1829,00:42,0:02.62,0:01.34,10080,7.5
/Applications/Pd,1829,00:43,0:02.70,0:01.38,10080,7.7
/Applications/Pd,1829,00:44,0:02.77,0:01.42,10080,7.8
/Applications/Pd,1829,00:45,0:02.85,0:01.46,10080,7.5
/Applications/Pd,1829,00:46,0:02.93,0:01.50,10080,7.5
/Applications/Pd,1829,00:47,0:02.98,0:01.53,10080,4.8
/Applications/Pd,1829,00:48,0:03.06,0:01.57,10080,7.8
/Applications/Pd,1829,00:49,0:03.13,0:01.61,10080,7.1
/Applications/Pd,1829,00:50,0:03.21,0:01.65,10080,7.4
/Applications/Pd,1829,00:51,0:03.29,0:01.69,10080,7.8
/Applications/Pd,1829,00:52,0:03.36,0:01.72,10080,6.7
/Applications/Pd,1829,00:53,0:03.43,0:01.76,10080,7.4
/Applications/Pd,1829,00:54,0:03.51,0:01.80,10080,7.9
/Applications/Pd,1829,00:55,0:03.59,0:01.84,10080,7.5
/Applications/Pd,1829,00:56,0:03.66,0:01.88,10080,7.0
/Applications/Pd,1829,00:57,0:03.74,0:01.92,10080,7.5
/Applications/Pd,1829,00:58,0:03.81,0:01.96,10080,7.0
/Applications/Pd,1829,00:59,0:03.89,0:02.00,10080,7.4
/Applications/Pd,1829,01:00,0:03.96,0:02.04,10080,7.6
/Applications/Pd,1829,01:01,0:04.04,0:02.08,10080,7.3
/Applications/Pd,1829,01:02,0:04.12,0:02.12,10080,7.5
/Applications/Pd,1829,01:03,0:04.19,0:02.16,10080,7.3
/Applications/Pd,1829,01:04,0:04.27,0:02.20,10080,7.5
/Applications/Pd,1829,01:05,0:04.34,0:02.23,10080,6.4
/Applications/Pd,1829,01:06,0:04.42,0:02.27,10080,7.1
/Applications/Pd,1829,01:07,0:04.48,0:02.31,10080,5.7
/Applications/Pd,1829,01:08,0:04.55,0:02.35,10080,6.7
/Applications/Pd,1829,01:09,0:04.62,0:02.39,10080,7.0
/Applications/Pd,1829,01:10,0:04.70,0:02.43,10080,7.0
/Applications/Pd,1829,01:11,0:04.77,0:02.46,10080,6.8
/Applications/Pd,1829,01:12,0:04.84,0:02.50,10080,6.9
/Applications/Pd,1829,01:13,0:04.91,0:02.54,10080,6.4
/Applications/Pd,1829,01:14,0:04.97,0:02.57,10080,6.8
/Applications/Pd,1829,01:15,0:05.04,0:02.61,10080,6.5
/Applications/Pd,1829,01:16,0:05.11,0:02.65,10080,6.6
/Applications/Pd,1829,01:17,0:05.18,0:02.68,10080,6.3
/Applications/Pd,1829,01:18,0:05.24,0:02.72,10080,6.4
/Applications/Pd,1829,01:19,0:05.31,0:02.75,10080,6.8
/Applications/Pd,1829,01:20,0:05.38,0:02.79,10080,6.9
/Applications/Pd,1829,01:21,0:05.44,0:02.82,10080,6.1
/Applications/Pd,1829,01:22,0:05.51,0:02.86,10080,6.7
/Applications/Pd,1829,01:23,0:05.57,0:02.89,10080,5.8
/Applications/Pd,1829,01:24,0:05.64,0:02.93,10080,6.8
/Applications/Pd,1829,01:26,0:05.71,0:02.97,10080,6.9
/Applications/Pd,1829,01:27,0:05.78,0:03.01,10080,6.7
/Applications/Pd,1829,01:28,0:05.85,0:03.04,10080,6.4
/Applications/Pd,1829,01:29,0:05.91,0:03.08,10080,6.2
/Applications/Pd,1829,01:30,0:05.97,0:03.11,10080,5.6
/Applications/Pd,1829,01:31,0:06.04,0:03.15,10080,6.7
/Applications/Pd,1829,01:32,0:06.11,0:03.19,10080,6.5
/Applications/Pd,1829,01:33,0:06.18,0:03.22,10080,6.2
/Applications/Pd,1829,01:34,0:06.25,0:03.26,10080,6.7
/Applications/Pd,1829,01:35,0:06.31,0:03.30,10080,6.1
/Applications/Pd,1829,01:36,0:06.38,0:03.33,10080,5.5
/Applications/Pd,1829,01:37,0:06.45,0:03.37,10080,6.3
/Applications/Pd,1829,01:38,0:06.51,0:03.40,10080,6.4
/Applications/Pd,1829,01:39,0:06.58,0:03.44,10080,6.4
/Applications/Pd,1829,01:40,0:06.65,0:03.48,10080,6.5
/Applications/Pd,1829,01:41,0:06.72,0:03.51,10080,6.3
