Launched Pure data with master PID 2706 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,2709,00:19,0:01.22,0:00.78,10324,8.7
/Applications/Pd,2709,00:20,0:01.32,0:00.84,10332,9.2
/Applications/Pd,2709,00:21,0:01.41,0:00.91,10332,8.8
/Applications/Pd,2709,00:22,0:01.50,0:00.98,10332,9.2
/Applications/Pd,2709,00:23,0:01.60,0:01.05,10332,9.9
/Applications/Pd,2709,00:24,0:01.70,0:01.12,10332,9.3
/Applications/Pd,2709,00:25,0:01.80,0:01.19,10332,8.9
/Applications/Pd,2709,00:26,0:01.89,0:01.25,10332,8.6
/Applications/Pd,2709,00:27,0:01.99,0:01.32,10332,9.3
/Applications/Pd,2709,00:28,0:02.08,0:01.39,10332,9.0
/Applications/Pd,2709,00:29,0:02.18,0:01.46,10332,9.2
/Applications/Pd,2709,00:30,0:02.28,0:01.53,10332,9.3
/Applications/Pd,2709,00:31,0:02.38,0:01.61,10332,9.9
/Applications/Pd,2709,00:32,0:02.47,0:01.67,10332,9.0
/Applications/Pd,2709,00:33,0:02.57,0:01.74,10332,8.8
/Applications/Pd,2709,00:34,0:02.67,0:01.82,10332,10.7
/Applications/Pd,2709,00:35,0:02.77,0:01.89,10332,9.0
/Applications/Pd,2709,00:36,0:02.86,0:01.95,10332,9.1
/Applications/Pd,2709,00:37,0:02.95,0:02.02,10332,8.8
/Applications/Pd,2709,00:39,0:03.05,0:02.09,10332,9.5
/Applications/Pd,2709,00:40,0:03.15,0:02.16,10332,9.0
/Applications/Pd,2709,00:41,0:03.24,0:02.22,10332,9.3
/Applications/Pd,2709,00:42,0:03.33,0:02.29,10332,8.8
/Applications/Pd,2709,00:43,0:03.42,0:02.35,10332,8.4
/Applications/Pd,2709,00:44,0:03.52,0:02.42,10332,9.0
/Applications/Pd,2709,00:45,0:03.61,0:02.49,10332,9.2
/Applications/Pd,2709,00:46,0:03.71,0:02.56,10332,8.9
/Applications/Pd,2709,00:47,0:03.80,0:02.62,10332,9.1
/Applications/Pd,2709,00:48,0:03.89,0:02.69,10332,8.8
/Applications/Pd,2709,00:49,0:03.99,0:02.76,10332,8.7
/Applications/Pd,2709,00:50,0:04.08,0:02.83,10332,8.9
/Applications/Pd,2709,00:51,0:04.17,0:02.89,10332,8.9
/Applications/Pd,2709,00:52,0:04.26,0:02.96,10332,8.8
/Applications/Pd,2709,00:53,0:04.36,0:03.03,10332,8.8
/Applications/Pd,2709,00:54,0:04.45,0:03.09,10332,8.8
/Applications/Pd,2709,00:55,0:04.55,0:03.16,10332,9.0
/Applications/Pd,2709,00:56,0:04.64,0:03.23,10332,8.9
/Applications/Pd,2709,00:57,0:04.73,0:03.30,10332,8.7
/Applications/Pd,2709,00:58,0:04.82,0:03.37,10332,9.2
/Applications/Pd,2709,00:59,0:04.91,0:03.44,10332,8.8
/Applications/Pd,2709,01:00,0:05.01,0:03.50,10332,8.8
/Applications/Pd,2709,01:01,0:05.09,0:03.57,10332,8.5
/Applications/Pd,2709,01:02,0:05.19,0:03.64,10332,9.0
/Applications/Pd,2709,01:03,0:05.28,0:03.70,10332,9.0
/Applications/Pd,2709,01:04,0:05.37,0:03.77,10332,8.9
/Applications/Pd,2709,01:05,0:05.48,0:03.84,10332,9.8
/Applications/Pd,2709,01:06,0:05.57,0:03.91,10332,8.8
/Applications/Pd,2709,01:07,0:05.66,0:03.98,10332,8.9
/Applications/Pd,2709,01:08,0:05.75,0:04.05,10332,8.8
/Applications/Pd,2709,01:09,0:05.85,0:04.11,10332,8.8
/Applications/Pd,2709,01:10,0:05.95,0:04.19,10332,9.2
/Applications/Pd,2709,01:11,0:06.05,0:04.26,10332,10.5
