Launched Pure data with master PID 3601 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,3604,00:20,0:01.16,0:00.72,10420,9.3
/Applications/Pd,3604,00:21,0:01.25,0:00.79,10420,9.1
/Applications/Pd,3604,00:22,0:01.35,0:00.86,10420,9.7
/Applications/Pd,3604,00:23,0:01.45,0:00.92,10420,8.8
/Applications/Pd,3604,00:24,0:01.54,0:00.99,10420,8.6
/Applications/Pd,3604,00:25,0:01.63,0:01.05,10420,8.7
/Applications/Pd,3604,00:26,0:01.71,0:01.12,10420,8.3
/Applications/Pd,3604,00:27,0:01.80,0:01.18,10420,8.4
/Applications/Pd,3604,00:28,0:01.89,0:01.24,10420,8.7
/Applications/Pd,3604,00:29,0:01.98,0:01.31,10420,8.4
/Applications/Pd,3604,00:30,0:02.07,0:01.37,10420,8.5
/Applications/Pd,3604,00:31,0:02.18,0:01.44,10420,10.2
/Applications/Pd,3604,00:32,0:02.27,0:01.51,10420,8.6
/Applications/Pd,3604,00:33,0:02.36,0:01.57,10420,8.6
/Applications/Pd,3604,00:34,0:02.45,0:01.63,10420,8.4
/Applications/Pd,3604,00:35,0:02.54,0:01.70,10420,8.4
/Applications/Pd,3604,00:36,0:02.63,0:01.76,10420,8.7
/Applications/Pd,3604,00:37,0:02.72,0:01.83,10420,9.4
/Applications/Pd,3604,00:38,0:02.81,0:01.89,10420,8.2
/Applications/Pd,3604,00:39,0:02.90,0:01.95,10420,9.5
/Applications/Pd,3604,00:40,0:02.99,0:02.02,10420,8.6
/Applications/Pd,3604,00:41,0:03.08,0:02.08,10420,8.5
/Applications/Pd,3604,00:42,0:03.18,0:02.15,10420,9.7
/Applications/Pd,3604,00:43,0:03.27,0:02.22,10420,8.5
/Applications/Pd,3604,00:44,0:03.36,0:02.28,10420,8.7
/Applications/Pd,3604,00:45,0:03.45,0:02.34,10420,8.6
/Applications/Pd,3604,00:46,0:03.54,0:02.41,10420,8.8
/Applications/Pd,3604,00:47,0:03.63,0:02.47,10420,8.4
/Applications/Pd,3604,00:48,0:03.72,0:02.54,10420,8.8
/Applications/Pd,3604,00:49,0:03.81,0:02.60,10420,8.7
/Applications/Pd,3604,00:50,0:03.90,0:02.66,10420,9.1
/Applications/Pd,3604,00:51,0:03.99,0:02.72,10420,8.5
/Applications/Pd,3604,00:52,0:04.08,0:02.79,10420,9.4
/Applications/Pd,3604,00:53,0:04.18,0:02.86,10420,9.4
/Applications/Pd,3604,00:54,0:04.27,0:02.93,10420,9.6
/Applications/Pd,3604,00:55,0:04.37,0:02.99,10420,8.7
/Applications/Pd,3604,00:56,0:04.46,0:03.05,10420,8.5
/Applications/Pd,3604,00:57,0:04.55,0:03.12,10420,8.5
/Applications/Pd,3604,00:59,0:04.63,0:03.18,10420,8.5
/Applications/Pd,3604,01:00,0:04.72,0:03.24,10420,8.7
/Applications/Pd,3604,01:01,0:04.81,0:03.31,10420,8.6
/Applications/Pd,3604,01:02,0:04.90,0:03.37,10420,8.5
/Applications/Pd,3604,01:03,0:05.00,0:03.44,10420,9.0
/Applications/Pd,3604,01:04,0:05.09,0:03.50,10420,9.2
/Applications/Pd,3604,01:05,0:05.18,0:03.57,10420,8.8
/Applications/Pd,3604,01:06,0:05.27,0:03.63,10420,9.1
/Applications/Pd,3604,01:07,0:05.37,0:03.70,10420,9.2
/Applications/Pd,3604,01:08,0:05.46,0:03.76,10420,8.6
/Applications/Pd,3604,01:09,0:05.55,0:03.82,10420,8.7
/Applications/Pd,3604,01:10,0:05.64,0:03.88,10420,8.3
/Applications/Pd,3604,01:11,0:05.73,0:03.95,10420,8.7
/Applications/Pd,3604,01:12,0:05.82,0:04.01,10420,8.5
/Applications/Pd,3604,01:13,0:05.91,0:04.08,10420,9.1
/Applications/Pd,3604,01:14,0:06.00,0:04.14,10420,8.6
/Applications/Pd,3604,01:15,0:06.09,0:04.21,10420,8.6
/Applications/Pd,3604,01:16,0:06.18,0:04.27,10420,8.2
/Applications/Pd,3604,01:17,0:06.27,0:04.33,10420,8.7
/Applications/Pd,3604,01:18,0:06.36,0:04.40,10420,8.4
/Applications/Pd,3604,01:19,0:06.45,0:04.46,10420,8.1
/Applications/Pd,3604,01:20,0:06.54,0:04.52,10420,8.6
/Applications/Pd,3604,01:21,0:06.63,0:04.59,10420,8.7
/Applications/Pd,3604,01:22,0:06.73,0:04.65,10420,9.0
/Applications/Pd,3604,01:23,0:06.82,0:04.72,10420,9.4
/Applications/Pd,3604,01:24,0:06.92,0:04.79,10420,9.3
/Applications/Pd,3604,01:25,0:07.01,0:04.85,10420,8.4
/Applications/Pd,3604,01:26,0:07.10,0:04.91,10420,8.3
/Applications/Pd,3604,01:27,0:07.19,0:04.98,10420,8.6
/Applications/Pd,3604,01:28,0:07.28,0:05.04,10420,8.5
/Applications/Pd,3604,01:29,0:07.38,0:05.11,10420,8.9
/Applications/Pd,3604,01:30,0:07.46,0:05.17,10420,8.5
/Applications/Pd,3604,01:31,0:07.56,0:05.24,10420,8.9
/Applications/Pd,3604,01:32,0:07.66,0:05.31,10420,9.1
/Applications/Pd,3604,01:33,0:07.75,0:05.38,10420,8.9
/Applications/Pd,3604,01:34,0:07.85,0:05.44,10420,9.4
/Applications/Pd,3604,01:35,0:07.94,0:05.51,10420,9.4
/Applications/Pd,3604,01:36,0:08.03,0:05.57,10420,8.6
/Applications/Pd,3604,01:37,0:08.13,0:05.64,10420,8.7
/Applications/Pd,3604,01:38,0:08.22,0:05.70,10420,9.3
/Applications/Pd,3604,01:39,0:08.31,0:05.77,10420,8.4
/Applications/Pd,3604,01:40,0:08.40,0:05.83,10420,8.4
/Applications/Pd,3604,01:41,0:08.49,0:05.89,10420,8.5
/Applications/Pd,3604,01:42,0:08.58,0:05.96,10420,8.5
/Applications/Pd,3604,01:43,0:08.67,0:06.02,10420,8.8
/Applications/Pd,3604,01:44,0:08.76,0:06.09,10420,8.5
/Applications/Pd,3604,01:45,0:08.85,0:06.15,10420,8.3
/Applications/Pd,3604,01:46,0:08.95,0:06.22,10420,9.2
/Applications/Pd,3604,01:47,0:09.04,0:06.28,10420,9.2
/Applications/Pd,3604,01:48,0:09.13,0:06.35,10420,9.2
/Applications/Pd,3604,01:49,0:09.23,0:06.41,10420,9.7
/Applications/Pd,3604,01:50,0:09.32,0:06.48,10420,8.5
/Applications/Pd,3604,01:51,0:09.41,0:06.54,10420,8.6
/Applications/Pd,3604,01:52,0:09.50,0:06.61,10420,8.8
/Applications/Pd,3604,01:53,0:09.60,0:06.67,10420,9.6
/Applications/Pd,3604,01:54,0:09.69,0:06.74,10420,8.6
/Applications/Pd,3604,01:55,0:09.77,0:06.80,10420,8.5
/Applications/Pd,3604,01:56,0:09.87,0:06.86,10420,8.8
/Applications/Pd,3604,01:57,0:09.95,0:06.93,10420,8.6
/Applications/Pd,3604,01:58,0:10.04,0:06.99,10420,8.7
/Applications/Pd,3604,01:59,0:10.14,0:07.06,10420,8.8
