Launched Pure data with master PID 4484 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,4487,00:20,0:04.29,0:03.83,26124,37.4
/Applications/Pd,4487,00:21,0:04.71,0:04.22,26124,41.2
/Applications/Pd,4487,00:22,0:05.10,0:04.59,26124,38.1
/Applications/Pd,4487,00:23,0:05.49,0:04.94,26124,37.4
/Applications/Pd,4487,00:24,0:05.87,0:05.29,26124,37.2
/Applications/Pd,4487,00:25,0:06.26,0:05.65,26124,38.2
/Applications/Pd,4487,00:26,0:06.65,0:06.00,26124,37.9
/Applications/Pd,4487,00:27,0:07.03,0:06.36,26124,37.8
/Applications/Pd,4487,00:28,0:07.42,0:06.72,26124,38.0
/Applications/Pd,4487,00:29,0:07.81,0:07.07,26124,38.6
/Applications/Pd,4487,00:30,0:08.19,0:07.42,26124,37.6
/Applications/Pd,4487,00:31,0:08.57,0:07.78,26124,37.9
/Applications/Pd,4487,00:32,0:08.96,0:08.14,26124,38.2
/Applications/Pd,4487,00:33,0:09.34,0:08.49,26124,37.4
/Applications/Pd,4487,00:34,0:09.73,0:08.84,26124,37.8
/Applications/Pd,4487,00:35,0:10.11,0:09.19,26124,37.2
/Applications/Pd,4487,00:36,0:10.49,0:09.54,26124,37.9
/Applications/Pd,4487,00:37,0:10.87,0:09.89,26124,37.7
/Applications/Pd,4487,00:38,0:11.26,0:10.25,26124,38.8
/Applications/Pd,4487,00:39,0:11.65,0:10.61,26124,38.3
/Applications/Pd,4487,00:40,0:12.04,0:10.97,26124,37.5
/Applications/Pd,4487,00:41,0:12.43,0:11.32,26124,37.8
/Applications/Pd,4487,00:42,0:12.81,0:11.68,26124,37.4
/Applications/Pd,4487,00:43,0:13.20,0:12.03,26132,37.7
/Applications/Pd,4487,00:44,0:13.61,0:12.41,26132,40.5
/Applications/Pd,4487,00:45,0:14.01,0:12.78,26132,38.4
/Applications/Pd,4487,00:46,0:14.45,0:13.19,26132,43.9
/Applications/Pd,4487,00:47,0:14.91,0:13.62,26132,43.4
/Applications/Pd,4487,00:48,0:15.36,0:14.03,26132,45.8
/Applications/Pd,4487,00:49,0:15.82,0:14.46,26132,45.4
/Applications/Pd,4487,00:50,0:16.31,0:14.92,26132,45.4
/Applications/Pd,4487,00:51,0:16.79,0:15.36,26132,45.6
