Launched Pure data with master PID 5369 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,5372,00:19,0:01.90,0:01.44,11628,14.7
/Applications/Pd,5372,00:20,0:02.05,0:01.56,11632,14.5
/Applications/Pd,5372,00:21,0:02.19,0:01.68,11632,14.7
/Applications/Pd,5372,00:22,0:02.34,0:01.80,11632,14.1
/Applications/Pd,5372,00:23,0:02.50,0:01.92,11632,14.7
/Applications/Pd,5372,00:24,0:02.65,0:02.05,11632,14.6
/Applications/Pd,5372,00:25,0:02.80,0:02.17,11632,13.9
/Applications/Pd,5372,00:26,0:02.95,0:02.29,11632,14.5
/Applications/Pd,5372,00:27,0:03.09,0:02.40,11632,13.6
/Applications/Pd,5372,00:28,0:03.23,0:02.52,11632,13.9
/Applications/Pd,5372,00:29,0:03.38,0:02.64,11632,14.0
/Applications/Pd,5372,00:30,0:03.52,0:02.76,11632,14.0
/Applications/Pd,5372,00:31,0:03.66,0:02.87,11632,13.7
/Applications/Pd,5372,00:32,0:03.80,0:02.99,11632,14.1
/Applications/Pd,5372,00:33,0:03.95,0:03.11,11632,14.4
/Applications/Pd,5372,00:34,0:04.09,0:03.23,11632,13.8
/Applications/Pd,5372,00:35,0:04.23,0:03.35,11632,13.8
/Applications/Pd,5372,00:36,0:04.38,0:03.46,11632,13.7
/Applications/Pd,5372,00:38,0:04.51,0:03.57,11632,12.8
/Applications/Pd,5372,00:39,0:04.65,0:03.69,11632,14.1
/Applications/Pd,5372,00:40,0:04.79,0:03.80,11632,13.4
/Applications/Pd,5372,00:41,0:04.94,0:03.92,11632,13.9
/Applications/Pd,5372,00:42,0:05.08,0:04.04,11632,13.7
/Applications/Pd,5372,00:43,0:05.22,0:04.15,11632,13.4
/Applications/Pd,5372,00:44,0:05.37,0:04.27,11632,14.5
/Applications/Pd,5372,00:45,0:05.51,0:04.39,11632,14.0
/Applications/Pd,5372,00:46,0:05.65,0:04.51,11632,13.7
/Applications/Pd,5372,00:47,0:05.80,0:04.63,11632,14.2
/Applications/Pd,5372,00:48,0:05.94,0:04.74,11632,13.9
/Applications/Pd,5372,00:49,0:06.08,0:04.86,11632,14.2
/Applications/Pd,5372,00:50,0:06.23,0:04.98,11632,14.0
/Applications/Pd,5372,00:51,0:06.37,0:05.10,11632,14.0
/Applications/Pd,5372,00:52,0:06.51,0:05.21,11632,13.9
/Applications/Pd,5372,00:53,0:06.66,0:05.33,11632,14.3
/Applications/Pd,5372,00:54,0:06.80,0:05.45,11632,13.8
/Applications/Pd,5372,00:55,0:06.94,0:05.57,11632,14.2
/Applications/Pd,5372,00:56,0:07.09,0:05.68,11632,13.8
/Applications/Pd,5372,00:57,0:07.22,0:05.80,11632,12.8
/Applications/Pd,5372,00:58,0:07.36,0:05.91,11632,13.4
/Applications/Pd,5372,00:59,0:07.50,0:06.02,11632,13.4
/Applications/Pd,5372,01:00,0:07.64,0:06.14,11632,14.1
/Applications/Pd,5372,01:01,0:07.79,0:06.26,11632,14.2
/Applications/Pd,5372,01:02,0:07.93,0:06.38,11632,13.6
/Applications/Pd,5372,01:03,0:08.07,0:06.49,11632,13.9
/Applications/Pd,5372,01:04,0:08.22,0:06.61,11632,13.9
/Applications/Pd,5372,01:05,0:08.35,0:06.73,11632,13.5
/Applications/Pd,5372,01:06,0:08.50,0:06.84,11632,14.0
/Applications/Pd,5372,01:07,0:08.64,0:06.96,11632,14.1
/Applications/Pd,5372,01:08,0:08.78,0:07.07,11632,13.1
/Applications/Pd,5372,01:09,0:08.92,0:07.19,11632,13.7
/Applications/Pd,5372,01:10,0:09.06,0:07.31,11632,14.0
/Applications/Pd,5372,01:11,0:09.21,0:07.43,11632,13.8
/Applications/Pd,5372,01:12,0:09.35,0:07.54,11632,13.8
/Applications/Pd,5372,01:13,0:09.49,0:07.66,11632,13.8
/Applications/Pd,5372,01:14,0:09.64,0:07.78,11632,13.8
/Applications/Pd,5372,01:15,0:09.78,0:07.90,11632,14.3
/Applications/Pd,5372,01:16,0:09.92,0:08.01,11632,13.8
/Applications/Pd,5372,01:17,0:10.07,0:08.13,11632,14.0
/Applications/Pd,5372,01:18,0:10.21,0:08.25,11632,13.8
/Applications/Pd,5372,01:19,0:10.35,0:08.36,11632,13.6
/Applications/Pd,5372,01:20,0:10.50,0:08.48,11632,14.3
/Applications/Pd,5372,01:21,0:10.64,0:08.60,11632,13.9
/Applications/Pd,5372,01:22,0:10.78,0:08.72,11632,13.9
/Applications/Pd,5372,01:23,0:10.93,0:08.83,11632,13.7
/Applications/Pd,5372,01:24,0:11.07,0:08.95,11632,14.0
/Applications/Pd,5372,01:25,0:11.22,0:09.07,11632,13.5
/Applications/Pd,5372,01:26,0:11.36,0:09.19,11632,13.9
/Applications/Pd,5372,01:27,0:11.50,0:09.30,11632,13.6
/Applications/Pd,5372,01:28,0:11.64,0:09.42,11632,14.0
/Applications/Pd,5372,01:29,0:11.79,0:09.54,11632,13.9
/Applications/Pd,5372,01:30,0:11.93,0:09.65,11632,13.6
/Applications/Pd,5372,01:31,0:12.07,0:09.77,11632,13.0
/Applications/Pd,5372,01:32,0:12.21,0:09.89,11632,14.0
/Applications/Pd,5372,01:33,0:12.36,0:10.00,11632,13.7
/Applications/Pd,5372,01:34,0:12.50,0:10.12,11632,13.6
/Applications/Pd,5372,01:35,0:12.64,0:10.24,11632,14.0
/Applications/Pd,5372,01:36,0:12.79,0:10.36,11632,13.9
/Applications/Pd,5372,01:37,0:12.93,0:10.47,11632,13.8
/Applications/Pd,5372,01:38,0:13.07,0:10.59,11632,13.7
/Applications/Pd,5372,01:39,0:13.21,0:10.70,11632,14.0
/Applications/Pd,5372,01:40,0:13.35,0:10.82,11632,13.6
/Applications/Pd,5372,01:41,0:13.49,0:10.93,11632,13.5
/Applications/Pd,5372,01:42,0:13.64,0:11.05,11632,14.0
/Applications/Pd,5372,01:43,0:13.78,0:11.17,11632,14.2
/Applications/Pd,5372,01:44,0:13.92,0:11.29,11632,13.9
/Applications/Pd,5372,01:45,0:14.07,0:11.40,11632,13.7
/Applications/Pd,5372,01:46,0:14.21,0:11.52,11632,14.2
/Applications/Pd,5372,01:47,0:14.35,0:11.64,11632,13.5
/Applications/Pd,5372,01:48,0:14.49,0:11.75,11632,14.0
/Applications/Pd,5372,01:50,0:14.64,0:11.87,11632,14.0
/Applications/Pd,5372,01:51,0:14.78,0:11.99,11632,14.0
/Applications/Pd,5372,01:52,0:14.93,0:12.11,11632,13.9
/Applications/Pd,5372,01:53,0:15.07,0:12.22,11632,13.8
/Applications/Pd,5372,01:54,0:15.21,0:12.34,11632,13.8
/Applications/Pd,5372,01:55,0:15.35,0:12.46,11632,13.6
/Applications/Pd,5372,01:56,0:15.49,0:12.57,11632,13.8
/Applications/Pd,5372,01:57,0:15.64,0:12.69,11632,13.8
/Applications/Pd,5372,01:58,0:15.77,0:12.80,11632,13.3
/Applications/Pd,5372,01:59,0:15.91,0:12.92,11632,13.1
