Launched Pure data with master PID 6272 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,6275,00:20,0:04.14,0:03.69,25956,34.3
/Applications/Pd,6275,00:21,0:04.52,0:04.04,25956,37.0
/Applications/Pd,6275,00:22,0:04.90,0:04.39,25956,37.8
/Applications/Pd,6275,00:23,0:05.28,0:04.74,25956,36.7
/Applications/Pd,6275,00:24,0:05.66,0:05.09,25956,37.5
/Applications/Pd,6275,00:25,0:06.04,0:05.45,25956,37.6
/Applications/Pd,6275,00:26,0:06.41,0:05.79,25956,36.3
/Applications/Pd,6275,00:27,0:06.79,0:06.14,25956,37.6
/Applications/Pd,6275,00:28,0:07.18,0:06.50,25956,38.1
/Applications/Pd,6275,00:29,0:07.56,0:06.85,25956,37.4
/Applications/Pd,6275,00:30,0:07.95,0:07.20,25956,37.7
/Applications/Pd,6275,00:31,0:08.33,0:07.55,25956,37.8
/Applications/Pd,6275,00:32,0:08.71,0:07.90,25956,37.8
/Applications/Pd,6275,00:33,0:09.09,0:08.25,25956,37.9
/Applications/Pd,6275,00:34,0:09.47,0:08.60,25956,37.7
/Applications/Pd,6275,00:35,0:09.85,0:08.96,25956,37.2
/Applications/Pd,6275,00:36,0:10.24,0:09.31,25956,37.7
/Applications/Pd,6275,00:37,0:10.62,0:09.66,25956,37.7
/Applications/Pd,6275,00:38,0:11.01,0:10.02,25956,38.2
/Applications/Pd,6275,00:39,0:11.38,0:10.36,25956,37.1
/Applications/Pd,6275,00:40,0:11.76,0:10.71,25956,36.7
/Applications/Pd,6275,00:41,0:12.15,0:11.07,25956,38.9
/Applications/Pd,6275,00:42,0:12.53,0:11.42,25956,37.1
/Applications/Pd,6275,00:43,0:12.92,0:11.78,25956,38.1
/Applications/Pd,6275,00:44,0:13.30,0:12.13,25956,36.2
/Applications/Pd,6275,00:45,0:13.68,0:12.48,25956,37.4
/Applications/Pd,6275,00:46,0:14.05,0:12.83,25956,37.3
/Applications/Pd,6275,00:47,0:14.43,0:13.18,25956,37.3
/Applications/Pd,6275,00:48,0:14.82,0:13.53,25956,37.4
/Applications/Pd,6275,00:49,0:15.20,0:13.89,25956,38.3
/Applications/Pd,6275,00:50,0:15.59,0:14.24,25956,37.8
/Applications/Pd,6275,00:51,0:15.97,0:14.59,25956,35.6
/Applications/Pd,6275,00:52,0:16.34,0:14.93,25956,36.3
/Applications/Pd,6275,00:53,0:16.73,0:15.29,25956,38.1
/Applications/Pd,6275,00:54,0:17.11,0:15.64,25956,38.3
/Applications/Pd,6275,00:55,0:17.49,0:15.99,25956,37.4
/Applications/Pd,6275,00:56,0:17.86,0:16.34,25956,35.8
/Applications/Pd,6275,00:57,0:18.23,0:16.68,25956,36.7
/Applications/Pd,6275,00:58,0:18.62,0:17.04,25956,37.9
/Applications/Pd,6275,00:59,0:19.00,0:17.39,25956,36.3
/Applications/Pd,6275,01:00,0:19.37,0:17.73,25956,36.0
/Applications/Pd,6275,01:01,0:19.75,0:18.09,25956,36.7
/Applications/Pd,6275,01:02,0:20.13,0:18.43,25956,35.7
/Applications/Pd,6275,01:03,0:20.52,0:18.79,25956,38.2
/Applications/Pd,6275,01:04,0:20.89,0:19.13,25956,36.0
/Applications/Pd,6275,01:06,0:21.28,0:19.49,25956,37.8
/Applications/Pd,6275,01:07,0:21.65,0:19.84,25956,37.1
/Applications/Pd,6275,01:08,0:22.04,0:20.19,25956,37.5
/Applications/Pd,6275,01:09,0:22.43,0:20.55,25956,38.0
/Applications/Pd,6275,01:10,0:22.81,0:20.90,25956,37.3
/Applications/Pd,6275,01:11,0:23.19,0:21.26,25956,37.7
/Applications/Pd,6275,01:12,0:23.59,0:21.62,25956,37.5
/Applications/Pd,6275,01:13,0:23.93,0:21.94,25956,33.9
/Applications/Pd,6275,01:14,0:24.27,0:22.26,25956,33.0
/Applications/Pd,6275,01:15,0:24.59,0:22.56,25956,31.3
/Applications/Pd,6275,01:16,0:24.98,0:22.92,25956,37.4
/Applications/Pd,6275,01:17,0:25.37,0:23.27,25956,38.0
/Applications/Pd,6275,01:18,0:25.75,0:23.63,25956,38.0
/Applications/Pd,6275,01:19,0:26.13,0:23.98,25956,37.3
/Applications/Pd,6275,01:20,0:26.51,0:24.33,25956,37.4
/Applications/Pd,6275,01:21,0:26.89,0:24.68,25956,37.6
/Applications/Pd,6275,01:22,0:27.27,0:25.03,25956,37.4
/Applications/Pd,6275,01:23,0:27.66,0:25.38,25956,37.4
/Applications/Pd,6275,01:24,0:28.04,0:25.74,25956,37.9
/Applications/Pd,6275,01:25,0:28.43,0:26.10,25956,38.0
/Applications/Pd,6275,01:26,0:28.81,0:26.45,25956,38.1
/Applications/Pd,6275,01:27,0:29.20,0:26.81,25956,38.3
/Applications/Pd,6275,01:28,0:29.58,0:27.16,25956,36.6
/Applications/Pd,6275,01:29,0:29.95,0:27.50,25956,36.6
/Applications/Pd,6275,01:30,0:30.33,0:27.85,25956,37.4
/Applications/Pd,6275,01:31,0:30.71,0:28.21,25956,38.0
/Applications/Pd,6275,01:32,0:31.09,0:28.56,25956,37.1
/Applications/Pd,6275,01:33,0:31.47,0:28.91,25956,37.6
/Applications/Pd,6275,01:34,0:31.85,0:29.26,25956,37.9
/Applications/Pd,6275,01:35,0:32.24,0:29.61,25956,37.8
/Applications/Pd,6275,01:36,0:32.62,0:29.96,25956,38.0
/Applications/Pd,6275,01:37,0:33.01,0:30.32,25956,38.0
/Applications/Pd,6275,01:38,0:33.39,0:30.67,25956,37.7
/Applications/Pd,6275,01:39,0:33.75,0:31.01,25956,36.6
/Applications/Pd,6275,01:40,0:34.14,0:31.36,25956,37.8
/Applications/Pd,6275,01:41,0:34.53,0:31.72,25956,39.2
/Applications/Pd,6275,01:42,0:34.92,0:32.08,25956,38.1
/Applications/Pd,6275,01:43,0:35.30,0:32.43,25956,37.1
/Applications/Pd,6275,01:44,0:35.67,0:32.77,25956,36.8
/Applications/Pd,6275,01:45,0:36.05,0:33.12,25956,37.4
/Applications/Pd,6275,01:46,0:36.42,0:33.47,25956,36.5
/Applications/Pd,6275,01:47,0:36.81,0:33.82,25956,37.9
/Applications/Pd,6275,01:48,0:37.18,0:34.16,25956,36.3
/Applications/Pd,6275,01:49,0:37.57,0:34.52,25956,38.3
/Applications/Pd,6275,01:50,0:37.94,0:34.87,25956,37.4
/Applications/Pd,6275,01:51,0:38.33,0:35.23,25956,37.9
/Applications/Pd,6275,01:52,0:38.72,0:35.58,25956,37.2
/Applications/Pd,6275,01:53,0:39.09,0:35.93,25956,36.4
/Applications/Pd,6275,01:54,0:39.48,0:36.28,25956,37.2
/Applications/Pd,6275,01:55,0:39.86,0:36.64,25956,37.6
/Applications/Pd,6275,01:56,0:40.25,0:36.99,25956,37.9
/Applications/Pd,6275,01:57,0:40.63,0:37.35,25956,38.1
/Applications/Pd,6275,01:58,0:41.01,0:37.69,25956,37.4
/Applications/Pd,6275,01:59,0:41.39,0:38.05,25956,37.6
/Applications/Pd,6275,02:00,0:41.77,0:38.40,25956,37.8
