Script started on 2020-01-21 19:38:32+00:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="80" LINES="24"]
Launched Pure data with master PID 7985 (4 instances)
Waiting 4 seconds to stabilize...
priority 8 scheduling failed.
cmd,pid,wall,cputime,usertime,rmem,load
pd,7985,00:04,00:00:00,-,5336,9.0
pd,7985,00:06,00:00:00,-,5336,8.0
pd,7985,00:07,00:00:00,-,5336,8.7
pd,7985,00:08,00:00:00,-,5336,9.2
pd,7985,00:09,00:00:00,-,5336,9.2
pd,7985,00:10,00:00:00,-,5336,9.5
pd,7985,00:11,00:00:01,-,5336,9.8
pd,7985,00:12,00:00:01,-,5336,10.0
pd,7985,00:13,00:00:01,-,5336,10.3
pd,7985,00:14,00:00:01,-,5336,10.4
pd,7985,00:15,00:00:01,-,5336,10.5
pd,7985,00:16,00:00:01,-,5336,10.6
pd,7985,00:17,00:00:01,-,5336,10.7
pd,7985,00:18,00:00:01,-,5336,10.8
pd,7985,00:19,00:00:02,-,5336,10.9
pd,7985,00:20,00:00:02,-,5336,11.0
pd,7985,00:21,00:00:02,-,5336,11.0
pd,7985,00:22,00:00:02,-,5336,11.1
pd,7985,00:23,00:00:02,-,5336,11.2
pd,7985,00:25,00:00:02,-,5336,10.8
pd,7985,00:26,00:00:02,-,5336,10.8
pd,7985,00:27,00:00:02,-,5336,10.9
pd,7985,00:28,00:00:03,-,5336,10.8
pd,7985,00:29,00:00:03,-,5336,10.9
pd,7985,00:30,00:00:03,-,5336,10.8
pd,7985,00:31,00:00:03,-,5336,10.9
pd,7985,00:32,00:00:03,-,5336,10.9
pd,7985,00:33,00:00:03,-,5336,11.0
pd,7985,00:34,00:00:03,-,5336,11.0
pd,7985,00:35,00:00:03,-,5336,11.1
pd,7985,00:36,00:00:04,-,5336,11.1
pd,7985,00:37,00:00:04,-,5336,11.1
pd,7985,00:38,00:00:04,-,5336,11.1
pd,7985,00:39,00:00:04,-,5336,11.2
pd,7985,00:40,00:00:04,-,5336,11.2
pd,7985,00:41,00:00:04,-,5336,11.3
pd,7985,00:42,00:00:04,-,5336,11.3
pd,7985,00:44,00:00:04,-,5336,11.1
pd,7985,00:45,00:00:05,-,5336,11.1
pd,7985,00:46,00:00:05,-,5336,11.1
pd,7985,00:47,00:00:05,-,5336,11.2
pd,7985,00:48,00:00:05,-,5336,11.2
pd,7985,00:49,00:00:05,-,5336,11.2
pd,7985,00:50,00:00:05,-,5336,11.2
pd,7985,00:51,00:00:05,-,5336,11.2
pd,7985,00:52,00:00:05,-,5336,11.2
pd,7985,00:53,00:00:05,-,5336,11.1
pd,7985,00:54,00:00:06,-,5336,11.2
pd,7985,00:55,00:00:06,-,5336,11.2
pd,7985,00:56,00:00:06,-,5336,11.2
pd,7985,00:57,00:00:06,-,5336,11.3
pd,7985,00:58,00:00:06,-,5336,11.3
pd,7985,00:59,00:00:06,-,5336,11.3
pd,7985,01:00,00:00:06,-,5336,11.4
pd,7985,01:01,00:00:06,-,5336,11.3
pd,7985,01:03,00:00:07,-,5336,11.1
pd,7985,01:04,00:00:07,-,5336,11.2
pd,7985,01:05,00:00:07,-,5336,11.2
pd,7985,01:06,00:00:07,-,5336,11.2
pd,7985,01:07,00:00:07,-,5336,11.2
pd,7985,01:08,00:00:07,-,5336,11.3
pd,7985,01:09,00:00:07,-,5336,11.3
pd,7985,01:10,00:00:07,-,5336,11.3
pd,7985,01:11,00:00:08,-,5336,11.3
pd,7985,01:12,00:00:08,-,5336,11.4
pd,7985,01:13,00:00:08,-,5336,11.4
pd,7985,01:14,00:00:08,-,5336,11.4
pd,7985,01:15,00:00:08,-,5336,11.4
pd,7985,01:16,00:00:08,-,5336,11.4
pd,7985,01:17,00:00:08,-,5336,11.4
pd,7985,01:18,00:00:08,-,5336,11.5
pd,7985,01:19,00:00:09,-,5336,11.5
pd,7985,01:20,00:00:09,-,5336,11.5
pd,7985,01:22,00:00:09,-,5336,11.3
pd,7985,01:23,00:00:09,-,5336,11.4
pd,7985,01:24,00:00:09,-,5336,11.4
pd,7985,01:25,00:00:09,-,5336,11.4
pd,7985,01:26,00:00:09,-,5336,11.4
pd,7985,01:27,00:00:09,-,5336,11.4
pd,7985,01:28,00:00:10,-,5336,11.4
pd,7985,01:29,00:00:10,-,5336,11.4
pd,7985,01:30,00:00:10,-,5336,11.5
pd,7985,01:31,00:00:10,-,5336,11.5
pd,7985,01:32,00:00:10,-,5336,11.5
pd,7985,01:33,00:00:10,-,5336,11.5
pd,7985,01:34,00:00:10,-,5336,11.5
pd,7985,01:35,00:00:11,-,5336,11.5
pd,7985,01:36,00:00:11,-,5336,11.6
pd,7985,01:37,00:00:11,-,5336,11.6
pd,7985,01:38,00:00:11,-,5336,11.6
pd,7985,01:40,00:00:11,-,5336,11.5
pd,7985,01:41,00:00:11,-,5336,11.5
pd,7985,01:42,00:00:11,-,5336,11.5
pd,7985,01:43,00:00:11,-,5336,11.5
pd,7985,01:44,00:00:12,-,5336,11.5
pd,7985,01:45,00:00:12,-,5336,11.6
pd,7985,01:46,00:00:12,-,5336,11.6
pd,7985,01:47,00:00:12,-,5336,11.6
pd,7985,01:48,00:00:12,-,5336,11.6
pd,7985,01:49,00:00:12,-,5336,11.6

Script done on 2020-01-21 19:40:22+00:00 [COMMAND_EXIT_CODE="0"]
