Script started on 2020-01-21 19:40:22+00:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="80" LINES="24"]
Launched Pure data with master PID 8304 (4 instances)
Waiting 4 seconds to stabilize...
priority 8 scheduling failed.
cmd,pid,wall,cputime,usertime,rmem,load
pd,8304,00:04,00:00:01,-,8240,49.2
pd,8304,00:05,00:00:02,-,8240,56.2
pd,8304,00:06,00:00:03,-,8240,61.0
pd,8304,00:07,00:00:04,-,8240,61.4
pd,8304,00:08,00:00:05,-,8240,63.7
pd,8304,00:09,00:00:05,-,8240,65.5
pd,8304,00:11,00:00:06,-,8240,61.0
pd,8304,00:12,00:00:07,-,8240,60.5
pd,8304,00:13,00:00:08,-,8240,62.1
pd,8304,00:14,00:00:08,-,8240,63.5
pd,8304,00:15,00:00:09,-,8240,64.7
pd,8304,00:16,00:00:10,-,8240,63.6
pd,8304,00:17,00:00:10,-,8240,64.6
pd,8304,00:18,00:00:11,-,8240,65.5
pd,8304,00:19,00:00:12,-,8240,66.4
pd,8304,00:20,00:00:13,-,8240,67.3
pd,8304,00:21,00:00:14,-,8240,68.1
pd,8304,00:22,00:00:15,-,8240,68.6
pd,8304,00:23,00:00:15,-,8240,69.3
pd,8304,00:24,00:00:16,-,8240,70.1
pd,8304,00:25,00:00:17,-,8240,70.8
pd,8304,00:26,00:00:18,-,8240,70.2
pd,8304,00:27,00:00:19,-,8240,70.7
pd,8304,00:28,00:00:19,-,8240,71.3
pd,8304,00:29,00:00:20,-,8240,71.7
pd,8304,00:31,00:00:21,-,8240,68.7
pd,8304,00:32,00:00:22,-,8240,69.3
pd,8304,00:33,00:00:23,-,8240,69.8
pd,8304,00:34,00:00:23,-,8240,70.2
pd,8304,00:35,00:00:24,-,8240,69.7
pd,8304,00:36,00:00:25,-,8240,70.1
pd,8304,00:37,00:00:26,-,8240,70.5
pd,8304,00:38,00:00:26,-,8240,70.8
pd,8304,00:39,00:00:27,-,8240,70.5
pd,8304,00:40,00:00:28,-,8240,70.9
pd,8304,00:41,00:00:29,-,8240,71.3
pd,8304,00:42,00:00:30,-,8240,71.6
pd,8304,00:43,00:00:30,-,8240,71.2
pd,8304,00:44,00:00:31,-,8240,71.4
pd,8304,00:45,00:00:32,-,8240,71.8
pd,8304,00:46,00:00:33,-,8240,72.1
pd,8304,00:47,00:00:33,-,8240,71.6
pd,8304,00:48,00:00:34,-,8240,71.9
pd,8304,00:49,00:00:35,-,8240,72.0
pd,8304,00:51,00:00:36,-,8240,70.8
pd,8304,00:52,00:00:36,-,8240,70.5
pd,8304,00:53,00:00:37,-,8240,70.7
pd,8304,00:54,00:00:38,-,8240,71.0
pd,8304,00:55,00:00:39,-,8240,71.3
pd,8304,00:56,00:00:39,-,8240,71.0
pd,8304,00:57,00:00:40,-,8240,71.2
pd,8304,00:58,00:00:41,-,8240,71.4
pd,8304,00:59,00:00:42,-,8240,71.7
pd,8304,01:00,00:00:42,-,8240,71.4
pd,8304,01:01,00:00:43,-,8240,71.6
pd,8304,01:02,00:00:44,-,8240,71.9
pd,8304,01:03,00:00:45,-,8240,72.1
pd,8304,01:04,00:00:46,-,8240,71.8
pd,8304,01:05,00:00:46,-,8240,72.0
pd,8304,01:06,00:00:47,-,8240,72.2
pd,8304,01:07,00:00:48,-,8240,72.4
pd,8304,01:08,00:00:49,-,8240,72.2
pd,8304,01:09,00:00:49,-,8240,72.4
pd,8304,01:11,00:00:50,-,8240,71.5
pd,8304,01:12,00:00:51,-,8240,71.8
pd,8304,01:13,00:00:52,-,8240,71.5
pd,8304,01:14,00:00:53,-,8240,71.6
pd,8304,01:15,00:00:53,-,8240,71.8
pd,8304,01:16,00:00:54,-,8240,72.0
pd,8304,01:17,00:00:55,-,8240,71.8
pd,8304,01:18,00:00:56,-,8240,71.9
pd,8304,01:19,00:00:56,-,8240,72.1
pd,8304,01:20,00:00:57,-,8240,72.3
pd,8304,01:21,00:00:58,-,8240,72.5
pd,8304,01:22,00:00:59,-,8240,72.4
pd,8304,01:23,00:01:00,-,8240,72.5
pd,8304,01:24,00:01:01,-,8240,72.7
pd,8304,01:25,00:01:01,-,8240,72.8
pd,8304,01:26,00:01:02,-,8240,72.7
pd,8304,01:27,00:01:03,-,8240,72.4
pd,8304,01:28,00:01:03,-,8240,72.5
pd,8304,01:29,00:01:04,-,8240,72.7
pd,8304,01:30,00:01:05,-,8240,72.8
pd,8304,01:32,00:01:06,-,8240,71.9
pd,8304,01:33,00:01:07,-,8240,72.0
pd,8304,01:34,00:01:07,-,8240,72.2
pd,8304,01:35,00:01:08,-,8240,72.3
pd,8304,01:36,00:01:09,-,8240,72.1
pd,8304,01:37,00:01:10,-,8240,72.3
pd,8304,01:38,00:01:11,-,8240,72.4
pd,8304,01:39,00:01:11,-,8240,72.5
pd,8304,01:40,00:01:12,-,8240,72.4
pd,8304,01:41,00:01:13,-,8240,72.5
pd,8304,01:42,00:01:14,-,8240,72.6
pd,8304,01:43,00:01:14,-,8240,72.8
pd,8304,01:44,00:01:15,-,8240,72.5
pd,8304,01:45,00:01:16,-,8240,72.6
pd,8304,01:46,00:01:17,-,8240,72.7
pd,8304,01:47,00:01:17,-,8240,72.8
pd,8304,01:48,00:01:18,-,8240,72.6

Script done on 2020-01-21 19:42:11+00:00 [COMMAND_EXIT_CODE="0"]
