Script started on 2020-01-21 19:42:11+00:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="80" LINES="24"]
Launched Pure data with master PID 8623 (4 instances)
Waiting 4 seconds to stabilize...
priority 8 scheduling failed.
cmd,pid,wall,cputime,usertime,rmem,load
pd,8623,00:04,00:00:00,-,5096,12.5
pd,8623,00:05,00:00:00,-,5096,13.6
pd,8623,00:06,00:00:00,-,5096,13.8
pd,8623,00:07,00:00:01,-,5096,14.4
pd,8623,00:08,00:00:01,-,5096,14.8
pd,8623,00:09,00:00:01,-,5096,15.3
pd,8623,00:10,00:00:01,-,5096,15.6
pd,8623,00:11,00:00:01,-,5096,15.8
pd,8623,00:12,00:00:01,-,5096,16.0
pd,8623,00:13,00:00:02,-,5096,16.1
pd,8623,00:14,00:00:02,-,5096,16.2
pd,8623,00:15,00:00:02,-,5096,16.4
pd,8623,00:16,00:00:02,-,5096,16.6
pd,8623,00:17,00:00:02,-,5096,16.7
pd,8623,00:18,00:00:03,-,5096,16.8
pd,8623,00:19,00:00:03,-,5096,17.0
pd,8623,00:20,00:00:03,-,5096,17.1
pd,8623,00:22,00:00:03,-,5096,16.4
pd,8623,00:23,00:00:03,-,5096,16.6
pd,8623,00:24,00:00:04,-,5096,16.7
pd,8623,00:25,00:00:04,-,5096,16.8
pd,8623,00:26,00:00:04,-,5096,16.9
pd,8623,00:27,00:00:04,-,5096,17.0
pd,8623,00:28,00:00:04,-,5096,17.1
pd,8623,00:29,00:00:04,-,5096,17.2
pd,8623,00:30,00:00:05,-,5096,17.2
pd,8623,00:31,00:00:05,-,5096,17.3
pd,8623,00:32,00:00:05,-,5096,17.4
pd,8623,00:33,00:00:05,-,5096,17.4
pd,8623,00:34,00:00:05,-,5096,17.5
pd,8623,00:35,00:00:06,-,5096,17.5
pd,8623,00:36,00:00:06,-,5096,17.6
pd,8623,00:37,00:00:06,-,5096,17.6
pd,8623,00:38,00:00:06,-,5096,17.7
pd,8623,00:39,00:00:06,-,5096,17.7
pd,8623,00:41,00:00:07,-,5096,17.3
pd,8623,00:42,00:00:07,-,5096,17.4
pd,8623,00:43,00:00:07,-,5096,17.4
pd,8623,00:44,00:00:07,-,5096,17.5
pd,8623,00:45,00:00:07,-,5096,17.5
pd,8623,00:46,00:00:08,-,5096,17.6
pd,8623,00:47,00:00:08,-,5096,17.6
pd,8623,00:48,00:00:08,-,5096,17.6
pd,8623,00:49,00:00:08,-,5096,17.7
pd,8623,00:50,00:00:08,-,5096,17.7
pd,8623,00:51,00:00:09,-,5096,17.7
pd,8623,00:52,00:00:09,-,5096,17.7
pd,8623,00:53,00:00:09,-,5096,17.7
pd,8623,00:54,00:00:09,-,5096,17.8
pd,8623,00:55,00:00:09,-,5096,17.8
pd,8623,00:56,00:00:10,-,5096,17.8
pd,8623,00:57,00:00:10,-,5096,17.8
pd,8623,00:58,00:00:10,-,5096,17.9
pd,8623,01:00,00:00:10,-,5096,17.6
pd,8623,01:01,00:00:10,-,5096,17.6
pd,8623,01:02,00:00:10,-,5096,17.7
pd,8623,01:03,00:00:11,-,5096,17.7
pd,8623,01:04,00:00:11,-,5096,17.7
pd,8623,01:05,00:00:11,-,5096,17.6
pd,8623,01:06,00:00:11,-,5096,17.7
pd,8623,01:07,00:00:11,-,5096,17.7
pd,8623,01:08,00:00:12,-,5096,17.7
pd,8623,01:09,00:00:12,-,5096,17.7
pd,8623,01:10,00:00:12,-,5096,17.6
pd,8623,01:11,00:00:12,-,5096,17.6
pd,8623,01:12,00:00:12,-,5096,17.6
pd,8623,01:13,00:00:12,-,5096,17.7
pd,8623,01:14,00:00:13,-,5096,17.7
pd,8623,01:15,00:00:13,-,5096,17.7
pd,8623,01:16,00:00:13,-,5096,17.7
pd,8623,01:17,00:00:13,-,5096,17.7
pd,8623,01:19,00:00:13,-,5096,17.5
pd,8623,01:20,00:00:14,-,5096,17.6
pd,8623,01:21,00:00:14,-,5096,17.6
pd,8623,01:22,00:00:14,-,5096,17.6
pd,8623,01:23,00:00:14,-,5096,17.6
pd,8623,01:24,00:00:14,-,5096,17.7
pd,8623,01:25,00:00:15,-,5096,17.7
pd,8623,01:26,00:00:15,-,5096,17.7
pd,8623,01:27,00:00:15,-,5096,17.7
pd,8623,01:28,00:00:15,-,5096,17.7
pd,8623,01:29,00:00:15,-,5096,17.8
pd,8623,01:30,00:00:16,-,5096,17.8
pd,8623,01:31,00:00:16,-,5096,17.8
pd,8623,01:32,00:00:16,-,5096,17.8
pd,8623,01:33,00:00:16,-,5096,17.7
pd,8623,01:34,00:00:16,-,5096,17.7
pd,8623,01:35,00:00:16,-,5096,17.7
pd,8623,01:36,00:00:17,-,5096,17.8
pd,8623,01:38,00:00:17,-,5096,17.6
pd,8623,01:39,00:00:17,-,5096,17.5
pd,8623,01:40,00:00:17,-,5096,17.6
pd,8623,01:41,00:00:17,-,5096,17.6
pd,8623,01:42,00:00:18,-,5096,17.6
pd,8623,01:43,00:00:18,-,5096,17.6
pd,8623,01:44,00:00:18,-,5096,17.6
pd,8623,01:45,00:00:18,-,5096,17.6
pd,8623,01:46,00:00:18,-,5096,17.6
pd,8623,01:47,00:00:18,-,5096,17.6
pd,8623,01:48,00:00:19,-,5096,17.6

Script done on 2020-01-21 19:44:01+00:00 [COMMAND_EXIT_CODE="0"]
