Script started on 2020-01-21 19:44:01+00:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="80" LINES="24"]
Launched Pure data with master PID 8942 (4 instances)
Waiting 4 seconds to stabilize...
priority 8 scheduling failed.
cmd,pid,wall,cputime,usertime,rmem,load
pd,8942,00:04,00:00:01,-,8288,43.0
pd,8942,00:05,00:00:02,-,8288,49.6
pd,8942,00:06,00:00:03,-,8288,54.1
pd,8942,00:07,00:00:03,-,8288,54.5
pd,8942,00:09,00:00:04,-,8288,50.6
pd,8942,00:10,00:00:05,-,8288,53.2
pd,8942,00:11,00:00:06,-,8288,55.6
pd,8942,00:12,00:00:06,-,8288,55.1
pd,8942,00:13,00:00:07,-,8288,56.7
pd,8942,00:14,00:00:08,-,8288,58.1
pd,8942,00:15,00:00:08,-,8288,59.2
pd,8942,00:16,00:00:09,-,8288,58.5
pd,8942,00:17,00:00:10,-,8288,59.5
pd,8942,00:18,00:00:10,-,8288,60.4
pd,8942,00:19,00:00:11,-,8288,60.6
pd,8942,00:20,00:00:12,-,8288,61.3
pd,8942,00:21,00:00:13,-,8288,61.9
pd,8942,00:22,00:00:13,-,8288,62.5
pd,8942,00:23,00:00:14,-,8288,62.9
pd,8942,00:24,00:00:15,-,8288,63.4
pd,8942,00:25,00:00:15,-,8288,63.8
pd,8942,00:26,00:00:16,-,8288,63.3
pd,8942,00:27,00:00:17,-,8288,63.5
pd,8942,00:29,00:00:17,-,8288,61.7
pd,8942,00:30,00:00:18,-,8288,62.1
pd,8942,00:31,00:00:19,-,8288,61.8
pd,8942,00:32,00:00:19,-,8288,62.1
pd,8942,00:33,00:00:20,-,8288,62.5
pd,8942,00:34,00:00:21,-,8288,62.9
pd,8942,00:35,00:00:21,-,8288,62.5
pd,8942,00:36,00:00:22,-,8288,62.9
pd,8942,00:37,00:00:23,-,8288,63.3
pd,8942,00:38,00:00:24,-,8288,63.7
pd,8942,00:39,00:00:24,-,8288,63.4
pd,8942,00:40,00:00:25,-,8288,63.8
pd,8942,00:41,00:00:26,-,8288,64.2
pd,8942,00:42,00:00:27,-,8288,64.5
pd,8942,00:43,00:00:27,-,8288,64.3
pd,8942,00:44,00:00:28,-,8288,64.5
pd,8942,00:45,00:00:29,-,8288,64.7
pd,8942,00:46,00:00:29,-,8288,64.9
pd,8942,00:47,00:00:30,-,8288,65.0
pd,8942,00:49,00:00:31,-,8288,63.9
pd,8942,00:50,00:00:32,-,8288,64.1
pd,8942,00:51,00:00:32,-,8288,63.8
pd,8942,00:52,00:00:33,-,8288,64.0
pd,8942,00:53,00:00:34,-,8288,64.1
pd,8942,00:54,00:00:34,-,8288,64.3
pd,8942,00:55,00:00:35,-,8288,64.4
pd,8942,00:56,00:00:36,-,8288,64.6
pd,8942,00:57,00:00:36,-,8288,64.8
pd,8942,00:58,00:00:37,-,8288,64.5
pd,8942,00:59,00:00:38,-,8288,64.6
pd,8942,01:00,00:00:38,-,8288,64.8
pd,8942,01:01,00:00:39,-,8288,64.9
pd,8942,01:02,00:00:40,-,8288,64.9
pd,8942,01:03,00:00:40,-,8288,65.0
pd,8942,01:04,00:00:41,-,8288,65.1
pd,8942,01:05,00:00:42,-,8288,65.0
pd,8942,01:06,00:00:43,-,8288,65.1
pd,8942,01:07,00:00:43,-,8288,65.3
pd,8942,01:08,00:00:44,-,8288,65.5
pd,8942,01:10,00:00:45,-,8288,64.6
pd,8942,01:11,00:00:45,-,8288,64.7
pd,8942,01:12,00:00:46,-,8288,64.8
pd,8942,01:13,00:00:47,-,8288,64.6
pd,8942,01:14,00:00:47,-,8288,64.7
pd,8942,01:15,00:00:48,-,8288,64.7
pd,8942,01:16,00:00:49,-,8288,64.9
pd,8942,01:17,00:00:49,-,8288,64.8
pd,8942,01:18,00:00:50,-,8288,64.9
pd,8942,01:19,00:00:51,-,8288,65.1
pd,8942,01:20,00:00:52,-,8288,65.1
pd,8942,01:21,00:00:52,-,8288,65.1
pd,8942,01:22,00:00:53,-,8288,65.2
pd,8942,01:23,00:00:54,-,8288,65.3
pd,8942,01:24,00:00:54,-,8288,65.4
pd,8942,01:25,00:00:55,-,8288,65.5
pd,8942,01:26,00:00:56,-,8288,65.6
pd,8942,01:27,00:00:56,-,8288,65.4
pd,8942,01:28,00:00:57,-,8288,65.5
pd,8942,01:30,00:00:58,-,8288,64.9
pd,8942,01:31,00:00:59,-,8288,64.9
pd,8942,01:32,00:00:59,-,8288,65.0
pd,8942,01:33,00:01:00,-,8288,65.0
pd,8942,01:34,00:01:01,-,8288,65.1
pd,8942,01:35,00:01:01,-,8288,65.1
pd,8942,01:36,00:01:02,-,8288,65.2
pd,8942,01:37,00:01:03,-,8288,65.2
pd,8942,01:38,00:01:04,-,8288,65.3
pd,8942,01:39,00:01:04,-,8288,65.4
pd,8942,01:40,00:01:05,-,8288,65.5
pd,8942,01:41,00:01:06,-,8288,65.6
pd,8942,01:42,00:01:07,-,8288,65.7
pd,8942,01:43,00:01:07,-,8288,65.5
pd,8942,01:44,00:01:08,-,8288,65.6
pd,8942,01:45,00:01:08,-,8288,65.6
pd,8942,01:46,00:01:09,-,8288,65.6
pd,8942,01:47,00:01:10,-,8288,65.7
pd,8942,01:48,00:01:11,-,8288,65.8

Script done on 2020-01-21 19:45:50+00:00 [COMMAND_EXIT_CODE="0"]
